번호,관리번호,지정일자,해제일자,운영상태,읍면동명,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
338,6510000-S201400009,2019.2.18,,사용중,,한라도서관(지하 1층),공공용시설,"제주특별자치도 제주시 오남로 221, 한라도서관 (오라이동)",제주특별자치도 제주시 오라이동 899번지 3호 한라도서관,63147,지하,1091.33,1322,2023.6.14 9:47,I,2023.7.28 1:14,33,28,34.39,126,30,53.35,33.47622066,126.5148181,908464.2174,1498701.922
339,6510000-S199001006,2019.2.22,,사용중,,용두암현대2차아파트 201동(지하주차장 1층),공공용시설,제주특별자치도 제주시 용담로5길 5 (용담삼동),제주특별자치도 제주시 용담삼동 581번지 3호,63151,지하,710.64,861,2021.12.31 12:01,I,2023.7.28 1:14,33,30,47.15,126,30,28.26,33.51327599,126.508169,907885.6578,1502816.329
340,6510000-S199201014,1992.5.14,,사용중,,화북시장아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 진동로5길 31 (화북일동, 화북시장아파트)",제주특별자치도 제주시 화북일동 1947번지 24호,63290,지하,158.7,192,2023.6.15 14:08,I,2023.7.28 1:14,33,31,18.47,126,33,58.96,33.5216518,126.5663255,913295.3856,1503694.881
341,6510000-S199101005,1991.3.17,,사용중,,구좌읍사무소(지하 1층),공공용시설,"제주특별자치도 제주시 구좌읍 일주동로 3116, 지하1층 (구좌읍사무소)",제주특별자치도 제주시 구좌읍 1561번지 7호,63360,지하,231,280,2023.4.29 9:49,I,2023.7.28 1:14,33,31,21.45,126,51,5.1,33.52281585,126.8522378,939847.6464,1503621.568
342,6510000-S200400003,2004.12.30,,사용중,,서원그린빌(지하주차장 1층),공공용시설,"제주특별자치도 제주시 전농로 3 (용담일동, 서원그린빌)",제주특별자치도 제주시 용담일동 266번지 4호,63173,지하,190.9,231,2021.12.31 14:47,I,2023.7.28 1:14,33,30,16.72,126,30,49.25,33.50459557,126.513684,908388.73,1501848.999
343,6510000-S199701003,2019.2.26,,사용중,,금성교회(지하 1층),공공용시설,제주특별자치도 제주시 애월읍 금성하안길 3 (금성교회),제주특별자치도 제주시 애월읍 436번지 3호,63034,지하,252.15,305,2023.6.16 15:04,I,2023.7.28 1:14,33,26,46.29,126,18,10.08,33.44639358,126.3025394,888701.7109,1495602.012
344,6510000-S198900003,2019.11.18,,사용중,,제주우체국(지하 1층),공공용시설,"제주특별자치도 제주시 관덕로 33 (삼도이동, 제주우체국)",제주특별자치도 제주시 삼도이동 54번지,63166,지하,515.7,625,2023.4.30 9:17,I,2023.7.28 1:14,33,30,48.54,126,31,22.23,33.51337333,126.5228129,909245.8359,1502814.217
345,6510000-S201100049,2019.11.18,,사용중,,라마다프라자호텔(지하주차장 1층~2층),공공용시설,제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254번지,63165,지하,14682,17796,2023.4.30 9:00,I,2023.7.28 1:14,33,31,8.51,126,31,4.81,33.51843605,126.5177947,908785.083,1503379.949
346,6510000-S199201002,1992.5.14,,사용중,,이호대일아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 대동길 17-1 (이호이동, 대일아파트)",제주특별자치도 제주시 이호이동 116번지 3호,63109,지하,641,776,2023.6.12 16:22,I,2023.7.28 1:14,33,29,35.71,126,27,49.17,33.4932974,126.4635257,903717.2061,1500641.704
347,6510000-S199301030,1993.5.12,,사용중,,창우연립 3동(지하주차장 1층),공공용시설,"제주특별자치도 제주시 오도4길 7 (이호이동, 창우빌라)",제주특별자치도 제주시 이호이동 930번지,63109,지하,225,272,2023.6.12 16:23,I,2023.7.28 1:14,33,29,35.76,126,27,33.76,33.49334085,126.4593815,903332.2672,1500650.373
